Region,category,cat_score,childRegions,RId
Albania  Kosovo,hiking,2.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,nature & wildlife,2.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,Weeks to Lower Quantile,2.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,cities & architecture,2.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,feb,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,jan,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,oct,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,aug,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,jul,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,jun,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,may,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,sep,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,mar,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,nov,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,dec,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Albania  Kosovo,apr,3.0,"Albania  Kosovo, Baltic states, Belarus  Ukraine and Moldova, Czech Republic and Slovakia, Hungary, Poland, Romania  Bulgaria and Macedonia, Serbia  Bosnia and Herzegovina  Montenegro",0
Algeria,dec,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,mar,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,nov,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,oct,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,sep,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,aug,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,jun,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,may,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,Weeks to Upper Quantile,1.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,apr,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,feb,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,culinary,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,shopping,2.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,cities & architecture,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,culture,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,wintersports,1.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,entertainment,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,watersports,2.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,average weekly cost,450.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,Safety from crime,2.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,beach,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,hiking,2.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,nature & wildlife,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,Weeks to Lower Quantile,1.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,jan,3.0,"Algeria, Libya, Morocco, Tunisia",1
Algeria,jul,3.0,"Algeria, Libya, Morocco, Tunisia",1
Antarctica and South Atlantic,feb,4.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,dec,5.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,jan,5.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,nature & wildlife,4.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,Weeks to Lower Quantile,12.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,Safety from crime,4.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,average weekly cost,4500.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,hiking,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,beach,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,watersports,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,entertainment,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,wintersports,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,Weeks to Upper Quantile,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,culture,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,cities & architecture,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,apr,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,nov,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,oct,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,sep,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,aug,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,jul,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,jun,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,may,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,shopping,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,culinary,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Antarctica and South Atlantic,mar,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",2
Argentina,average weekly cost,400.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,may,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,apr,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,Weeks to Upper Quantile,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,jun,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,Weeks to Lower Quantile,1.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,jul,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,aug,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,sep,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,oct,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,nov,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,dec,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,feb,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,jan,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,shopping,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,mar,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,culinary,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,Safety from crime,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,cities & architecture,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,hiking,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,beach,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,watersports,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,nature & wildlife,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,entertainment,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,culture,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina,wintersports,3.0,"Antarctica and South Atlantic, Argentina, Bolivia, Brazil, Chile North and Central, Colombia, Ecuador, Guianas, Paraguay, Patagonia, Peru, Uruguay, Venezuela, Argentina Central, Argentina North, Brazil Central West, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast",3
Argentina Central,mar,4.0,"Argentina Central, Argentina North",4
Argentina Central,feb,3.0,"Argentina Central, Argentina North",4
Argentina Central,jan,2.0,"Argentina Central, Argentina North",4
Argentina Central,Weeks to Upper Quantile,2.0,"Argentina Central, Argentina North",4
Argentina Central,shopping,3.0,"Argentina Central, Argentina North",4
Argentina Central,cities & architecture,4.0,"Argentina Central, Argentina North",4
Argentina Central,apr,5.0,"Argentina Central, Argentina North",4
Argentina Central,aug,3.0,"Argentina Central, Argentina North",4
Argentina Central,jul,3.0,"Argentina Central, Argentina North",4
Argentina Central,sep,4.0,"Argentina Central, Argentina North",4
Argentina Central,culinary,3.0,"Argentina Central, Argentina North",4
Argentina Central,oct,5.0,"Argentina Central, Argentina North",4
Argentina Central,nov,5.0,"Argentina Central, Argentina North",4
Argentina Central,dec,3.0,"Argentina Central, Argentina North",4
Argentina Central,average weekly cost,0.0,"Argentina Central, Argentina North",4
Argentina Central,may,5.0,"Argentina Central, Argentina North",4
Argentina Central,culture,4.0,"Argentina Central, Argentina North",4
Argentina Central,jun,4.0,"Argentina Central, Argentina North",4
Argentina Central,entertainment,2.0,"Argentina Central, Argentina North",4
Argentina Central,Weeks to Lower Quantile,12.0,"Argentina Central, Argentina North",4
Argentina Central,Safety from crime,4.0,"Argentina Central, Argentina North",4
Argentina Central,nature & wildlife,3.0,"Argentina Central, Argentina North",4
Argentina Central,wintersports,2.0,"Argentina Central, Argentina North",4
Argentina Central,beach,2.0,"Argentina Central, Argentina North",4
Argentina Central,watersports,2.0,"Argentina Central, Argentina North",4
Argentina Central,hiking,2.0,"Argentina Central, Argentina North",4
Argentina North,nov,3.0,"Argentina Central, Argentina North",5
Argentina North,oct,4.0,"Argentina Central, Argentina North",5
Argentina North,sep,5.0,"Argentina Central, Argentina North",5
Argentina North,aug,5.0,"Argentina Central, Argentina North",5
Argentina North,jul,5.0,"Argentina Central, Argentina North",5
Argentina North,jun,5.0,"Argentina Central, Argentina North",5
Argentina North,may,5.0,"Argentina Central, Argentina North",5
Argentina North,watersports,1.0,"Argentina Central, Argentina North",5
Argentina North,entertainment,2.0,"Argentina Central, Argentina North",5
Argentina North,dec,3.0,"Argentina Central, Argentina North",5
Argentina North,culture,3.0,"Argentina Central, Argentina North",5
Argentina North,culinary,3.0,"Argentina Central, Argentina North",5
Argentina North,cities & architecture,1.0,"Argentina Central, Argentina North",5
Argentina North,shopping,2.0,"Argentina Central, Argentina North",5
Argentina North,jan,3.0,"Argentina Central, Argentina North",5
Argentina North,apr,4.0,"Argentina Central, Argentina North",5
Argentina North,wintersports,1.0,"Argentina Central, Argentina North",5
Argentina North,average weekly cost,0.0,"Argentina Central, Argentina North",5
Argentina North,hiking,3.0,"Argentina Central, Argentina North",5
Argentina North,Weeks to Lower Quantile,8.0,"Argentina Central, Argentina North",5
Argentina North,Safety from crime,4.0,"Argentina Central, Argentina North",5
Argentina North,nature & wildlife,3.0,"Argentina Central, Argentina North",5
Argentina North,beach,1.0,"Argentina Central, Argentina North",5
Argentina North,Weeks to Upper Quantile,1.0,"Argentina Central, Argentina North",5
Argentina North,mar,3.0,"Argentina Central, Argentina North",5
Argentina North,feb,3.0,"Argentina Central, Argentina North",5
Australia,Weeks to Upper Quantile,1.0,"Australia, New Zealand, Pacific, Papua New Guinea, Australia Northeast, Australia South, Australia West, Melanesia, Micronesia, Polynesia",6
Australia,jul,3.0,"Australia, New Zealand, Pacific, Papua New Guinea, Australia Northeast, Australia South, Australia West, Melanesia, Micronesia, Polynesia",6
Australia,Weeks to Lower Quantile,16.0,"Australia, New Zealand, Pacific, Papua New Guinea, Australia Northeast, Australia South, Australia West, Melanesia, Micronesia, Polynesia",6
Australia,wintersports,3.0,"Australia, New Zealand, Pacific, Papua New Guinea, Australia Northeast, Australia South, Australia West, Melanesia, Micronesia, Polynesia",6
Australia,culture,3.0,"Australia, New Zealand, Pacific, Papua New Guinea, Australia Northeast, Australia South, Australia West, Melanesia, Micronesia, Polynesia",6
